emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees,risk_category
supervisor,10.0,IL,MORTGAGE,75000.0,Verified,10.45,,,,0.0,50.0,1996.0,4.0,22.0,10.0,39433.0,22895.0,0.0,1.0,,0.0,0.0,2.0,6.0,3.0,10.0,0.0,0.0,2.0,5000.0,16.0,8.0,5.0,2.0,94.1,0.0,1.0,debt_consolidation,individual,25000.0,60.0,15.04,595.28,C,C4,Mar-2018,Current,whole,Cash,24143.51,1764.95,856.49,908.46,0.0,Low
register nurse,2.0,FL,MORTGAGE,91900.0,Source Verified,1.82,,,,0.0,,2000.0,4.0,26.0,10.0,450371.0,55939.0,0.0,0.0,,0.0,0.0,1.0,7.0,4.0,10.0,0.0,0.0,2.0,9000.0,15.0,8.0,3.0,3.0,92.0,0.0,0.0,other,individual,40000.0,60.0,9.92,848.31,B,B2,Mar-2018,Current,whole,Cash,38434.2,2500.84,1565.8,935.04,0.0,Low
respiratory therapist & sleep lab tech,5.0,SC,MORTGAGE,122000.0,Source Verified,12.06,,,,0.0,37.0,1990.0,8.0,32.0,12.0,263800.0,43686.0,0.0,0.0,37.0,0.0,31245.0,2.0,11.0,1.0,12.0,0.0,0.0,3.0,12100.0,20.0,9.0,5.0,3.0,84.4,0.0,0.0,debt_consolidation,individual,16000.0,36.0,13.59,543.67,C,C2,Feb-2018,Current,whole,Cash,14525.3,2204.88,1474.7,730.18,0.0,Low
senior inspector,10.0,CO,MORTGAGE,88000.0,Source Verified,3.67,,,,0.0,44.0,1984.0,6.0,65.0,21.0,259915.0,14387.0,0.0,0.0,,0.0,0.0,0.0,7.0,0.0,21.0,0.0,0.0,4.0,70800.0,53.0,20.0,6.0,3.0,98.4,0.0,0.0,credit_card,individual,17000.0,60.0,9.43,356.46,B,B1,Feb-2018,Current,whole,DirectPay,16326.13,1060.47,673.87,386.6,0.0,Low
,,FL,MORTGAGE,17000.0,Verified,33.98,,,,1.0,6.0,2006.0,0.0,22.0,10.0,74042.0,26483.0,0.0,1.0,6.0,0.0,0.0,3.0,4.0,14.0,10.0,0.0,0.0,2.0,3600.0,17.0,7.0,2.0,1.0,90.9,0.0,1.0,debt_consolidation,individual,3000.0,36.0,19.03,110.02,D,D3,Jan-2018,Current,whole,Cash,2744.21,454.36,255.79,198.57,0.0,Low
dental hygienist,10.0,TN,MORTGAGE,60000.0,Not Verified,38.46,,,,0.0,,1995.0,0.0,21.0,11.0,136815.0,75552.0,0.0,0.0,,0.0,0.0,3.0,1.0,,11.0,0.0,0.0,3.0,39700.0,10.0,8.0,3.0,2.0,100.0,0.0,0.0,credit_card,individual,20000.0,60.0,19.03,519.15,D,D3,Feb-2018,Current,whole,Cash,19172.64,2023.74,827.36,1196.38,0.0,Low
,,NV,MORTGAGE,60000.0,Not Verified,31.22,,,,0.0,77.0,2003.0,4.0,21.0,9.0,375092.0,93016.0,0.0,0.0,,0.0,0.0,3.0,8.0,2.0,9.0,0.0,0.0,2.0,15800.0,7.0,5.0,3.0,2.0,95.2,0.0,0.0,credit_card,individual,12000.0,60.0,19.03,311.49,D,D3,Jan-2018,Current,whole,Cash,11374.52,1532.08,625.48,906.6,0.0,Low
onsite medical ,3.0,NV,RENT,72000.0,Source Verified,20.33,,,,0.0,37.0,2006.0,6.0,12.0,6.0,58911.0,54947.0,0.0,0.0,37.0,0.0,0.0,2.0,3.0,2.0,6.0,0.0,0.0,1.0,2500.0,5.0,4.0,2.0,0.0,91.7,0.0,0.0,debt_consolidation,individual,30000.0,60.0,28.72,947.15,F,F1,Jan-2018,Current,whole,Cash,28798.08,4687.88,1201.92,3485.96,0.0,Low
operational risk manager,10.0,IL,MORTGAGE,210000.0,Verified,9.53,,,,0.0,,2003.0,2.0,18.0,7.0,322046.0,73705.0,0.0,0.0,,0.0,0.0,4.0,6.0,2.0,7.0,,0.0,2.0,17500.0,6.0,2.0,2.0,5.0,100.0,0.0,0.0,medical,individual,5000.0,36.0,26.77,203.51,E,E5,Feb-2018,Fully Paid,fractional,Cash,0.0,5202.6426724643,5000.0,202.64,0.0,Unknown
welder,1.0,CA,MORTGAGE,83000.0,Source Verified,18.44,,,,3.0,14.0,2005.0,1.0,11.0,6.0,555154.0,39482.0,0.0,0.0,22.0,0.0,0.0,1.0,1.0,8.0,6.0,0.0,0.0,3.0,8300.0,7.0,4.0,3.0,2.0,63.6,0.0,0.0,debt_consolidation,individual,20000.0,60.0,15.05,476.33,C,C4,Jan-2018,Fully Paid,whole,Cash,0.0,20653.717721938,20000.0,653.72,0.0,Unknown
maintenance adm assistant,10.0,KY,MORTGAGE,50000.0,Not Verified,15.6,,,,0.0,,2003.0,0.0,13.0,9.0,70313.0,18128.0,0.0,0.0,,0.0,0.0,2.0,4.0,13.0,9.0,0.0,0.0,2.0,18800.0,7.0,6.0,4.0,1.0,100.0,0.0,0.0,credit_card,individual,7000.0,36.0,6.08,213.21,A,A2,Jan-2018,Current,fractional,Cash,6102.23,1063.69,897.77,165.92,0.0,Low
warranty administrator,1.0,NV,MORTGAGE,42000.0,Source Verified,32.0,95000.0,Source Verified,16.12,0.0,,1991.0,4.0,19.0,9.0,272403.0,47575.0,0.0,1.0,,0.0,0.0,3.0,5.0,5.0,9.0,0.0,0.0,3.0,10100.0,7.0,5.0,5.0,1.0,100.0,0.0,1.0,credit_card,joint,10000.0,36.0,11.98,332.05,B,B5,Mar-2018,Current,whole,Cash,9296.37,989.49,703.63,285.86,0.0,Low
underwriter,5.0,NJ,MORTGAGE,100000.0,Not Verified,26.53,,,,0.0,,2002.0,1.0,64.0,17.0,566384.0,151251.0,0.0,0.0,,0.0,150.0,7.0,10.0,6.0,17.0,0.0,0.0,3.0,26200.0,22.0,8.0,6.0,6.0,100.0,0.0,0.0,debt_consolidation,individual,21050.0,60.0,13.59,485.34,C,C2,Feb-2018,Current,whole,Cash,20045.3,1909.57,1004.7,904.87,0.0,Low
,,TX,MORTGAGE,40280.0,Verified,7.27,,,,0.0,,1997.0,1.0,10.0,4.0,188450.0,6103.0,0.0,0.0,,0.0,0.0,1.0,0.0,9.0,4.0,0.0,0.0,1.0,7500.0,7.0,2.0,1.0,1.0,90.0,0.0,0.0,home_improvement,individual,3500.0,36.0,6.71,107.61,A,A3,Mar-2018,Current,whole,Cash,3323.42,223.71,176.58,47.13,0.0,Low
program analyst ,10.0,VA,RENT,82000.0,Not Verified,17.31,,,,0.0,67.0,1999.0,1.0,26.0,7.0,65425.0,69177.0,0.0,0.0,67.0,0.0,0.0,2.0,3.0,4.0,7.0,0.0,0.0,2.0,11500.0,14.0,5.0,5.0,2.0,88.0,0.0,0.0,credit_card,individual,8000.0,36.0,7.96,250.55,A,A5,Mar-2018,Current,fractional,Cash,7403.61,744.57,596.39,148.18,0.0,Low
surveyor/cadd tech,7.0,PA,MORTGAGE,55000.0,Source Verified,14.42,,,,0.0,,2009.0,0.0,20.0,14.0,197985.0,17296.0,0.0,0.0,,0.0,142.0,1.0,3.0,,14.0,0.0,0.0,7.0,22100.0,16.0,12.0,8.0,1.0,100.0,0.0,0.0,debt_consolidation,individual,18000.0,60.0,12.61,405.98,C,C1,Feb-2018,Current,whole,Cash,17342.65,1205.33,657.35,547.98,0.0,Low
associated ,1.0,NY,RENT,55000.0,Source Verified,13.68,,,,0.0,44.0,2013.0,7.0,17.0,11.0,41891.0,26637.0,0.0,0.0,44.0,0.0,0.0,1.0,11.0,3.0,11.0,0.0,0.0,3.0,17700.0,16.0,10.0,4.0,0.0,100.0,0.0,0.0,credit_card,individual,10000.0,36.0,11.98,332.05,B,B5,Mar-2018,Current,whole,Cash,9432.28,750.79,567.72,183.07,0.0,Low
inventory control specialist,5.0,IL,RENT,33000.0,Not Verified,19.38,,,,0.0,,2013.0,0.0,9.0,8.0,43876.0,22920.0,0.0,0.0,,0.0,0.0,5.0,2.0,19.0,8.0,0.0,0.0,3.0,17600.0,3.0,3.0,3.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,3200.0,36.0,7.34,99.31,A,A4,Feb-2018,Current,whole,Cash,2557.44,696.63,642.56,54.07,0.0,Low
inventory control,3.0,GA,RENT,60000.0,Not Verified,11.0,,,,0.0,70.0,1998.0,0.0,13.0,9.0,56000.0,14338.0,0.0,0.0,70.0,0.0,0.0,2.0,5.0,,9.0,0.0,0.0,2.0,36400.0,9.0,7.0,2.0,1.0,92.3,0.0,0.0,debt_consolidation,individual,10000.0,36.0,5.32,301.15,A,A1,Jan-2018,Current,whole,Cash,8704.48,1498.36,1295.52,202.84,0.0,Low
sr direct supoort professional,4.0,MO,MORTGAGE,48000.0,Source Verified,2.88,,,,0.0,,2002.0,2.0,26.0,9.0,147217.0,2489.0,0.0,0.0,,0.0,0.0,2.0,3.0,0.0,9.0,0.0,0.0,1.0,25000.0,18.0,6.0,1.0,2.0,100.0,0.0,0.0,house,individual,6000.0,36.0,6.07,182.73,A,A2,Mar-2018,Current,whole,Cash,5540.54,544.14,459.46,84.68,0.0,Low
director of operations,4.0,CA,MORTGAGE,106000.0,Verified,26.25,,,,0.0,,1997.0,2.0,36.0,15.0,405236.0,105548.0,0.0,0.0,,0.0,0.0,2.0,4.0,0.0,15.0,,0.0,8.0,62120.0,26.0,12.0,12.0,4.0,100.0,0.0,0.0,debt_consolidation,individual,12000.0,36.0,12.62,402.14,C,C1,Feb-2018,Current,whole,Cash,10878.71,1600.15,1121.29,478.86,0.0,Low
hospitalist,3.0,TX,MORTGAGE,245000.0,Source Verified,24.9,,,,0.0,68.0,2002.0,1.0,37.0,20.0,772243.0,497876.0,0.0,0.0,68.0,0.0,0.0,13.0,4.0,6.0,20.0,0.0,0.0,2.0,74100.0,8.0,6.0,2.0,1.0,100.0,0.0,0.0,debt_consolidation,individual,40000.0,60.0,9.44,838.91,B,B1,Feb-2018,Current,whole,Cash,37878.15,3334.66,2121.85,1212.81,0.0,Low
teacher,9.0,AR,MORTGAGE,50000.0,Verified,36.75,101000.0,Verified,20.92,1.0,3.0,1982.0,0.0,31.0,20.0,246210.0,51523.0,0.0,0.0,,0.0,0.0,2.0,3.0,17.0,20.0,0.0,0.0,8.0,71100.0,26.0,17.0,10.0,2.0,90.3,0.0,0.0,credit_card,joint,19000.0,60.0,19.03,493.19,D,D3,Feb-2018,Current,whole,Cash,18214.02,1922.54,785.98,1136.56,0.0,Low
controller,3.0,SC,MORTGAGE,80000.0,Source Verified,28.3,,,,0.0,35.0,2004.0,0.0,27.0,14.0,250359.0,113927.0,0.0,0.0,,0.0,0.0,2.0,4.0,20.0,14.0,0.0,0.0,3.0,23800.0,14.0,11.0,6.0,4.0,96.3,0.0,0.0,debt_consolidation,individual,28000.0,60.0,20.39,747.92,D,D4,Mar-2018,Current,whole,Cash,27169.59,2180.32,830.41,1349.91,0.0,Low
deputy,10.0,CA,MORTGAGE,140000.0,Not Verified,13.82,,,,0.0,,1993.0,2.0,21.0,12.0,631258.0,69647.0,0.0,0.0,,0.0,0.0,2.0,5.0,0.0,12.0,0.0,0.0,1.0,58100.0,13.0,9.0,3.0,2.0,100.0,0.0,0.0,debt_consolidation,individual,15000.0,60.0,9.93,318.19,B,B2,Jan-2018,Fully Paid,whole,Cash,0.0,15005.166875,15000.0,5.17,0.0,Unknown
armed protection officer ,1.0,MD,OWN,70000.0,Source Verified,0.0,,,,0.0,31.0,2004.0,0.0,13.0,3.0,30400.0,92.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,0.0,92.3,0.0,0.0,small_business,individual,2400.0,36.0,6.08,73.1,A,A2,Jan-2018,Fully Paid,whole,Cash,0.0,2409.0499926707,2400.0,9.05,0.0,Unknown
driver,2.0,MD,RENT,45000.0,Source Verified,10.59,,,,0.0,,2003.0,1.0,9.0,7.0,14500.0,13304.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,4.0,11300.0,8.0,7.0,6.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,10000.0,36.0,21.45,379.07,D,D5,Jan-2018,Current,fractional,Cash,8961.95,1871.52,1038.05,833.47,0.0,Low
supplies clerk,10.0,NJ,MORTGAGE,70000.0,Verified,17.06,105000.0,Verified,13.27,0.0,102.0,1988.0,2.0,21.0,14.0,363649.0,29954.0,0.0,0.0,102.0,0.0,0.0,3.0,4.0,7.0,14.0,0.0,0.0,3.0,12900.0,15.0,10.0,7.0,2.0,95.2,0.0,0.0,car,joint,24000.0,60.0,15.04,571.47,C,C4,Mar-2018,In Grace Period,whole,Cash,23455.27,1102.83,544.73,558.1,0.0,Low
loan consultant ,2.0,PA,RENT,75000.0,Not Verified,18.53,,,,0.0,,2006.0,2.0,12.0,6.0,55075.0,34186.0,0.0,0.0,,0.0,0.0,2.0,3.0,2.0,6.0,0.0,0.0,1.0,19600.0,9.0,4.0,2.0,0.0,100.0,0.0,0.0,other,individual,9500.0,36.0,10.42,308.42,B,B3,Jan-2018,Current,whole,Cash,8350.57,1531.1,1149.43,381.67,0.0,Low
bank coordinator,2.0,CA,RENT,53592.0,Source Verified,7.1,,,,0.0,,2009.0,0.0,6.0,4.0,42499.0,10466.0,2.0,0.0,,0.0,3943.0,1.0,1.0,14.0,4.0,0.0,0.0,1.0,18800.0,3.0,3.0,2.0,1.0,100.0,0.0,0.0,other,individual,30000.0,36.0,12.61,1005.2,C,C1,Feb-2018,Current,whole,Cash,27196.39,3978.77,2803.61,1175.16,0.0,Low
,,MI,MORTGAGE,19000.0,Not Verified,24.79,43000.0,Not Verified,17.15,0.0,,2004.0,0.0,12.0,6.0,23234.0,12435.0,0.0,1.0,,0.0,154.0,0.0,2.0,13.0,6.0,0.0,0.0,2.0,3000.0,8.0,5.0,4.0,1.0,100.0,0.0,1.0,other,joint,10000.0,60.0,18.06,254.27,D,D2,Jan-2018,Current,whole,Cash,9465.3,1261.32,534.7,726.62,0.0,Low
senior recruiter,5.0,MD,RENT,90000.0,Source Verified,15.72,,,,0.0,,2005.0,8.0,24.0,10.0,77285.0,51012.0,0.0,0.0,,0.0,0.0,2.0,4.0,3.0,10.0,0.0,0.0,2.0,23900.0,11.0,8.0,3.0,3.0,100.0,0.0,0.0,moving,individual,15000.0,60.0,11.99,333.6,B,B5,Feb-2018,Current,whole,Cash,14254.01,1314.42,745.99,568.43,0.0,Low
reader advisor,10.0,VA,RENT,77000.0,Source Verified,14.82,,,,0.0,80.0,1977.0,0.0,29.0,14.0,74852.0,44015.0,0.0,0.0,80.0,0.0,0.0,2.0,5.0,16.0,14.0,0.0,0.0,3.0,27700.0,19.0,11.0,6.0,3.0,96.6,0.0,0.0,debt_consolidation,individual,35000.0,60.0,15.05,833.57,C,C4,Jan-2018,Current,whole,Cash,33391.61,3275.75,1608.39,1667.36,0.0,Low
truck driver,2.0,TX,RENT,42000.0,Source Verified,25.89,,,,0.0,,2004.0,1.0,11.0,6.0,43239.0,31094.0,0.0,0.0,,0.0,0.0,3.0,4.0,1.0,6.0,0.0,0.0,2.0,8300.0,7.0,3.0,3.0,0.0,100.0,0.0,0.0,credit_card,individual,10000.0,36.0,15.05,346.9,C,C4,Feb-2018,Current,whole,Cash,9097.26,1379.24,902.74,476.5,0.0,Low
sales,4.0,TX,MORTGAGE,130000.0,Source Verified,13.51,,,,0.0,,1991.0,2.0,15.0,11.0,403408.0,49857.0,0.0,0.0,,0.0,667.0,2.0,9.0,8.0,11.0,0.0,0.0,2.0,34300.0,7.0,6.0,4.0,2.0,100.0,0.0,0.0,home_improvement,individual,40000.0,60.0,12.62,902.37,C,C1,Feb-2018,Current,whole,Cash,38042.58,3581.44,1957.42,1624.02,0.0,Low
director of support services,10.0,NC,OWN,76300.0,Not Verified,10.71,,,,0.0,68.0,1980.0,4.0,30.0,12.0,185068.0,26515.0,0.0,1.0,68.0,0.0,0.0,2.0,7.0,0.0,12.0,0.0,0.0,2.0,16800.0,21.0,9.0,4.0,3.0,96.7,0.0,1.0,debt_consolidation,individual,15000.0,36.0,6.72,461.24,A,A3,Jan-2018,Current,whole,Cash,13092.56,2295.0,1907.44,387.56,0.0,Low
rn,2.0,FL,MORTGAGE,190000.0,Not Verified,2.68,,,,0.0,,2004.0,0.0,17.0,9.0,175300.0,18870.0,0.0,0.0,,0.0,0.0,0.0,4.0,16.0,9.0,0.0,0.0,4.0,78300.0,10.0,8.0,5.0,1.0,100.0,0.0,0.0,debt_consolidation,individual,20000.0,36.0,6.71,614.9,A,A3,Mar-2018,Current,whole,Cash,18991.05,1214.89,1008.95,205.94,0.0,Low
police recruit,0.0,TX,RENT,41000.0,Verified,25.7,,,,0.0,,2008.0,0.0,23.0,7.0,29311.0,13527.0,0.0,0.0,,0.0,0.0,2.0,1.0,17.0,7.0,0.0,0.0,5.0,10300.0,7.0,5.0,5.0,2.0,100.0,0.0,0.0,debt_consolidation,individual,4500.0,36.0,15.05,156.11,C,C4,Feb-2018,Current,whole,Cash,4093.75,620.68,406.25,214.43,0.0,Low
lead teller,2.0,NE,RENT,30000.0,Not Verified,3.64,,,,0.0,,2012.0,0.0,9.0,7.0,18000.0,5542.0,0.0,0.0,,0.0,0.0,0.0,1.0,,7.0,0.0,0.0,2.0,17000.0,8.0,7.0,3.0,0.0,100.0,0.0,0.0,car,individual,16000.0,60.0,9.93,339.41,B,B2,Jan-2018,Current,whole,Cash,14947.68,1688.22,1052.32,635.9,0.0,Low
registered nurse,6.0,NC,MORTGAGE,88000.0,Source Verified,17.24,,,,0.0,61.0,2004.0,2.0,39.0,25.0,404236.0,199983.0,0.0,0.0,,0.0,0.0,18.0,5.0,3.0,25.0,0.0,0.0,3.0,32000.0,8.0,6.0,4.0,2.0,97.4,0.0,0.0,credit_card,individual,10000.0,36.0,10.42,324.65,B,B3,Jan-2018,Current,whole,Cash,9036.27,1292.81,963.73,329.08,0.0,Low
hes advisor ,2.0,TX,MORTGAGE,115000.0,Verified,18.72,,,,0.0,26.0,2005.0,6.0,21.0,15.0,394519.0,69124.0,0.0,0.0,42.0,0.0,0.0,2.0,11.0,1.0,15.0,,0.0,8.0,40150.0,12.0,10.0,5.0,2.0,76.0,0.0,0.0,debt_consolidation,individual,20000.0,60.0,22.91,562.78,E,E1,Feb-2018,Current,whole,Cash,19255.22,2225.66,744.78,1480.88,0.0,Low
sr admin assistant,10.0,TX,RENT,95731.0,Not Verified,19.64,,,,0.0,,2002.0,1.0,37.0,15.0,86768.0,53109.0,0.0,0.0,,0.0,0.0,2.0,10.0,4.0,15.0,0.0,0.0,2.0,33700.0,21.0,13.0,4.0,0.0,100.0,0.0,0.0,debt_consolidation,individual,20600.0,60.0,30.79,676.52,G,G1,Jan-2018,Current,whole,Cash,19821.53,3345.79,778.47,2567.32,0.0,Low
president,2.0,CA,RENT,127000.0,Source Verified,9.12,,,,1.0,7.0,2013.0,0.0,11.0,9.0,74518.0,34313.0,0.0,0.0,,0.0,0.0,1.0,2.0,18.0,9.0,0.0,0.0,3.0,32300.0,9.0,8.0,4.0,0.0,100.0,0.0,0.0,major_purchase,individual,35000.0,60.0,15.05,833.57,C,C4,Feb-2018,Current,whole,Cash,33396.01,3305.02,1603.99,1701.03,0.0,Low
hvac technician,10.0,GA,MORTGAGE,75000.0,Source Verified,22.91,145000.0,Source Verified,22.42,0.0,,1993.0,0.0,27.0,8.0,224758.0,63799.0,0.0,0.0,,0.0,0.0,4.0,1.0,,8.0,0.0,0.0,1.0,23000.0,8.0,3.0,1.0,3.0,100.0,0.0,0.0,debt_consolidation,joint,10000.0,36.0,6.07,304.54,A,A2,Mar-2018,Current,whole,Cash,9234.27,910.25,765.73,144.52,0.0,Low
nurse assistant,5.0,NC,MORTGAGE,70000.0,Not Verified,21.41,,,,0.0,,2008.0,1.0,21.0,6.0,279995.0,52244.0,0.0,0.0,,0.0,0.0,2.0,4.0,9.0,6.0,0.0,0.0,1.0,14800.0,10.0,3.0,2.0,3.0,100.0,0.0,0.0,debt_consolidation,individual,12000.0,36.0,6.07,365.45,A,A2,Mar-2018,Current,whole,Cash,11081.12,1092.3,918.88,173.42,0.0,Low
,,FL,OWN,22000.0,Source Verified,13.05,40000.0,Source Verified,22.39,0.0,49.0,1984.0,0.0,6.0,3.0,130600.0,4277.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,1.0,2300.0,3.0,2.0,2.0,1.0,80.0,0.0,0.0,debt_consolidation,joint,1925.0,36.0,17.47,69.09,D,D1,Mar-2018,Current,whole,Cash,1842.26,139.02,82.74,56.28,0.0,Low
driver,8.0,NJ,MORTGAGE,75000.0,Verified,20.16,,,,0.0,,2006.0,4.0,39.0,23.0,365595.0,30262.0,0.0,0.0,,0.0,391.0,2.0,9.0,0.0,23.0,0.0,0.0,6.0,49600.0,31.0,20.0,7.0,1.0,100.0,0.0,0.0,house,individual,15000.0,36.0,7.34,465.5,A,A4,Mar-2018,Current,whole,Cash,13871.88,1390.38,1128.12,262.26,0.0,Low
gourmet food server,10.0,NV,MORTGAGE,73000.0,Verified,39.08,,,,0.0,,2007.0,8.0,28.0,24.0,146435.0,51162.0,0.0,1.0,,0.0,0.0,3.0,9.0,0.0,24.0,0.0,0.0,8.0,40600.0,24.0,21.0,13.0,1.0,100.0,0.0,1.0,debt_consolidation,individual,20000.0,36.0,13.59,679.58,C,C2,Feb-2018,Current,whole,Cash,18156.66,2703.22,1843.34,859.88,0.0,Low
